scenario,coverage_plugin,avg_ci_length_plugin,bias_plugin,rmse_plugin,avg_k_y_plugin,avg_k_d_plugin,coverage_cv,avg_ci_length_cv,bias_cv,rmse_cv,avg_k_y_cv,avg_k_d_cv,coverage_diff,bias_diff,avg_ci_length_diff
baseline,0.174,0.2747388715876595,-0.2005214397704139,0.21104804192143037,16.67,8.986,0.81,0.28012769244522673,6.053701235290054e-05,0.11478083666632873,19.096,18.872,0.6360000000000001,0.2005819767827668,0.005388820857567256
baseline_c06,0.084,0.27255071724137114,-0.23630060626442664,0.2478374059712169,34.368,13.91,0.81,0.28012769244522673,6.053701235290054e-05,0.11478083666632873,19.096,18.872,0.7260000000000001,0.23636114327677954,0.007576975203855585
baseline_s3,0.274,0.2754700451745455,-0.17853309296800757,0.1905159241469841,13.316,4.86,0.786,0.2808697132403929,-0.0012444049393100585,0.11584098703598912,13.87,13.528,0.512,0.17728868802869752,0.005399668065847407
baseline_s3_c06,0.066,0.27322065793786077,-0.2476427075831568,0.25850921665754273,32.444,9.826,0.786,0.2808697132403929,-0.0012444049393100585,0.11584098703598912,13.87,13.528,0.72,0.24639830264384674,0.007649055302532126
n_sweep_large,0.344,0.21900649273529507,-0.13347535430311433,0.14337451984246485,16.956,9.062,0.858,0.22100275284296975,-0.0021447774490574376,0.07799148231158493,19.112,18.984,0.514,0.13133057685405689,0.0019962601076746744
n_sweep_large_c06,0.208,0.21862573217783432,-0.16092415186535416,0.17214551943277354,36.322,14.438,0.858,0.22100275284296975,-0.0021447774490574376,0.07799148231158493,19.112,18.984,0.65,0.15877937441629672,0.0023770206651354264
n_sweep_large_s3,0.43,0.21904985322701037,-0.11962908766987647,0.13103086018707896,13.556,4.874,0.862,0.22115616515341094,-0.0032434558673821215,0.0774077844569142,13.944,13.816,0.432,0.11638563180249435,0.002106311926400567
n_sweep_large_s3_c06,0.174,0.21909288921124884,-0.16991197707740474,0.18041587606788062,34.63,10.302,0.862,0.22115616515341094,-0.0032434558673821215,0.0774077844569142,13.944,13.816,0.688,0.16666852121002262,0.0020632759421621016
n_sweep_small,0.042,0.34868610302568503,-0.31699426888662685,0.32672285036463883,16.378,9.488,0.706,0.37556255319157433,0.007657500841349384,0.22301739005688317,20.046,20.32,0.6639999999999999,0.3246517697279762,0.0268764501658893
n_sweep_small_c06,0.022,0.342734194254861,-0.36634189327490324,0.3779439836839955,31.39,14.066,0.706,0.37556255319157433,0.007657500841349384,0.22301739005688317,20.046,20.32,0.6839999999999999,0.3739993941162526,0.03282835893671332
n_sweep_small_s3,0.098,0.352111685244933,-0.2849592935170674,0.2957016729202011,13.018,5.262,0.748,0.37639971511128495,0.0006735130736873262,0.22428782087132276,14.924,14.992,0.65,0.28563280659075474,0.024288029866351923
n_sweep_small_s3_c06,0.014,0.3442276847534337,-0.3833923964631882,0.39386738277415884,29.646,9.972,0.748,0.37639971511128495,0.0006735130736873262,0.22428782087132276,14.924,14.992,0.734,0.3840659095368755,0.03217203035785127
p60_n120,0.12,0.3559900414080507,-0.2731004940655659,0.2838600837484492,13.268,8.186,0.786,0.37419021790177376,0.0007605336241879202,0.15932908092173573,16.048,16.046,0.666,0.27386102768975384,0.018200176493723075
p60_n120_c06,0.222,0.3569926014164513,-0.25370176744144723,0.27109477639086116,23.424,11.48,0.786,0.37419021790177376,0.0007605336241879202,0.15932908092173573,16.048,16.046,0.5640000000000001,0.25446230106563517,0.017197616485322476
p60_n120_rho01_s3,0.108,0.3523538972261548,-0.2808683322912405,0.29182657789466304,10.748,3.762,0.798,0.37189135889347713,-0.0036459936932563427,0.16182155961490152,11.878,11.746,0.6900000000000001,0.2772223385979841,0.019537461667322342
p60_n120_rho01_s3_c06,0.12,0.35637783323831973,-0.29676362545265533,0.3106600753161851,23.062,7.886,0.798,0.37189135889347713,-0.0036459936932563427,0.16182155961490152,11.878,11.746,0.678,0.293117631759399,0.0155135256551574
p60_n120_rho0_s3,0.052,0.3467475314438197,-0.31557269916774,0.3254126803410522,10.928,3.254,0.75,0.3708144965845705,-0.006283237001575031,0.16530056526486622,12.336,12.02,0.698,0.309289462166165,0.024066965140750796
p60_n120_rho0_s3_c06,0.066,0.3543879563793426,-0.32583678440460945,0.3375645320138326,23.804,7.576,0.75,0.3708144965845705,-0.006283237001575031,0.16530056526486622,12.336,12.02,0.6839999999999999,0.31955354740303443,0.01642654020522788
p60_n120_s3,0.218,0.3577066635378943,-0.24076238491205748,0.25370676506962975,10.354,4.616,0.82,0.3727542462818011,-0.0016495602888387784,0.15499440031568332,11.844,11.666,0.602,0.2391128246232187,0.015047582743906773
p60_n120_s3_c06,0.196,0.35687496694072013,-0.2641023715202305,0.28113463895911495,21.85,8.13,0.82,0.3727542462818011,-0.0016495602888387784,0.15499440031568332,11.844,11.666,0.6239999999999999,0.2624528112313917,0.015879279341080965
p60_n200,0.286,0.2765273319969039,-0.17763945898350886,0.1893177370187697,13.716,8.158,0.88,0.28243056273869654,-0.002939781843221523,0.09271615591374838,16.226,16.274,0.5940000000000001,0.17469967714028733,0.005903230741792664
p60_n200_c06,0.37,0.27852834443516655,-0.16792360704289935,0.18221737732562213,24.846,11.918,0.88,0.28243056273869654,-0.002939781843221523,0.09271615591374838,16.226,16.274,0.51,0.16498382519967783,0.0039022183035299918
p60_n200_rho01_s3,0.24,0.27535732622651576,-0.18602427200987462,0.1977158353161611,11.102,3.656,0.86,0.28248199671172053,-0.003994197734977607,0.09748462570441423,11.86,11.928,0.62,0.182030074274897,0.007124670485204765
p60_n200_rho01_s3_c06,0.222,0.2794251514106289,-0.19642628537737514,0.2083509509207935,24.692,8.164,0.86,0.28248199671172053,-0.003994197734977607,0.09748462570441423,11.86,11.928,0.638,0.19243208764239753,0.0030568453010916263
p60_n200_rho0_s3,0.144,0.2734388891401959,-0.2100264767643492,0.2199218729205387,11.35,3.184,0.86,0.2820968387670965,-0.0015128899783310747,0.09522582429854252,11.924,12.136,0.716,0.20851358678601814,0.00865794962690064
p60_n200_rho0_s3_c06,0.134,0.2790650474133464,-0.21571148928656234,0.22643804094639208,25.73,7.798,0.86,0.2820968387670965,-0.0015128899783310747,0.09522582429854252,11.924,12.136,0.726,0.21419859930823126,0.0030317913537500907
p60_n200_s3,0.384,0.2772728604227085,-0.15769849751583462,0.17111588281649345,10.71,4.638,0.858,0.28311343530836725,-0.00202638532781109,0.09502461105324284,11.902,12.18,0.474,0.15567211218802351,0.005840574885658756
p60_n200_s3_c06,0.33,0.27901973025444143,-0.17601939471480993,0.18987581453295005,23.436,8.358,0.858,0.28311343530836725,-0.00202638532781109,0.09502461105324284,11.902,12.18,0.528,0.17399300938699883,0.004093705053925811
p60_n320,0.454,0.21977182151778038,-0.11509214787318871,0.12722899548870797,13.956,7.964,0.878,0.22085005034513336,-0.0030949507630692293,0.07076203198489187,16.17,16.142,0.424,0.11199719711011948,0.0010782288273529783
p60_n320_c06,0.498,0.22013028127099368,-0.10794656880475911,0.12460870665155155,25.498,12.07,0.878,0.22085005034513336,-0.0030949507630692293,0.07076203198489187,16.17,16.142,0.38,0.10485161804168988,0.0007197690741396756
p60_n320_rho01_s3,0.412,0.21910783738098535,-0.12088523262612576,0.1332533398714021,11.54,3.528,0.86,0.220816832380605,-0.005699461024768953,0.07452867572854842,11.676,11.332,0.448,0.1151857716013568,0.0017089949996196563
p60_n320_rho01_s3_c06,0.376,0.22095717565852072,-0.12655043785049244,0.1403537560643735,25.526,8.218,0.86,0.220816832380605,-0.005699461024768953,0.07452867572854842,11.676,11.332,0.484,0.12085097682572349,-0.00014034327791570544
p60_n320_rho0_s3,0.292,0.21828769843232437,-0.1376839404881631,0.14864762645793775,11.65,3.146,0.866,0.22071257409513698,-0.0055299859616516865,0.07532743206611685,11.722,11.352,0.5740000000000001,0.1321539545265114,0.0024248756628126034
p60_n320_rho0_s3_c06,0.318,0.22110718360769782,-0.13909570500393464,0.15146101598257009,26.48,7.79,0.866,0.22071257409513698,-0.0055299859616516865,0.07532743206611685,11.722,11.352,0.548,0.13356571904228295,-0.0003946095125608451
p60_n320_s3,0.536,0.21985735862411554,-0.10212711163599565,0.11645711732838689,11.052,4.444,0.878,0.22103250540602964,-0.005256113179792124,0.07293006384421574,12.05,11.716,0.34199999999999997,0.09687099845620353,0.0011751467819141048
p60_n320_s3_c06,0.462,0.22048491701759038,-0.11364912860266302,0.12934118705846462,24.184,8.616,0.878,0.22103250540602964,-0.005256113179792124,0.07293006384421574,12.05,11.716,0.416,0.1083930154228709,0.0005475883884392685
